run,perturbation,severity,roc_auc,accuracy,eer
ffpp_efficientnet_b0_seed0,noise,0,0.995636961050995,0.9743333333333334,0.029079583535852268
ffpp_efficientnet_b0_seed0,noise,1,0.5817174456183436,0.26266666666666666,0.44817221355299175
ffpp_efficientnet_b0_seed0,noise,2,0.48226289654623533,0.7983333333333333,0.5048519267009457
ffpp_efficientnet_b0_seed0,noise,3,0.5137933141757551,0.7156666666666667,0.48819634527981715
ffpp_efficientnet_b0_seed0,noise,4,0.51042084139856,0.6103333333333333,0.4944850903447512
ffpp_efficientnet_b0_seed0,resize,0,0.995636961050995,0.9743333333333334,0.029079583535852268
ffpp_efficientnet_b0_seed0,resize,1,0.783285936802731,0.806,0.2922433126124513
ffpp_efficientnet_b0_seed0,resize,2,0.591199594109471,0.8056666666666666,0.4378480127565595
ffpp_efficientnet_b0_seed0,resize,3,0.607749652520188,0.805,0.42119243133543105
ffpp_efficientnet_b0_seed0,resize,4,0.6010185635227205,0.804,0.4224651027943346
ffpp_efficientnet_b0_seed0,contrast,0,0.995636961050995,0.9743333333333334,0.029079583535852268
ffpp_efficientnet_b0_seed0,contrast,1,0.9889211497957757,0.9533333333333334,0.055852583288566
ffpp_efficientnet_b0_seed0,contrast,2,0.9543167083073967,0.8953333333333333,0.11377299122560178
ffpp_efficientnet_b0_seed0,contrast,3,0.8297554992766166,0.84,0.24103587355998396
ffpp_efficientnet_b0_seed0,contrast,4,0.6826930182849704,0.7466666666666667,0.3672648435701312
