freq,real_c23,real_c23_std,fake_c23,fake_c23_std,gap_db_c23,real_jpeg30,real_jpeg30_std,fake_jpeg30,fake_jpeg30_std,gap_db_jpeg30
0.8125,0.36312793778739477,0.32273539864998646,0.27349332416221755,0.25132235752300974,-1.231129294860676,0.46302989136030137,0.2256461012926778,0.38261403704997027,0.17244010852406425,-0.8284812722267998
0.825,0.34056161368548316,0.3016271449921901,0.25714408497103575,0.23691795082165734,-1.2201915206636815,0.45560201450403515,0.21495931894894957,0.3795727664470556,0.16783519851865428,-0.7929058864062322
0.8375,0.30495520671288945,0.2720442072394849,0.23190354064585497,0.21457358296663942,-1.1892866889416975,0.43266049765752185,0.19467706454013847,0.3638824887560518,0.15780868266841136,-0.7518608720033121
0.85,0.27865180469336154,0.2513565616599804,0.21335992046409888,0.19977973135104224,-1.1594901456140883,0.4118667343638526,0.18334753990549438,0.3442629120054067,0.14716636393320934,-0.7786647623767157
0.8625,0.2641875325103205,0.23903522920902873,0.2019430535024864,0.19323109737611682,-1.16683394777933,0.4053490417358723,0.18040007987743426,0.3402258822585278,0.1474649179190335,-0.7606179966830323
0.875,0.2388006264224307,0.21825530165024545,0.1832594986777539,0.1757991439354696,-1.1496896200899342,0.3796153905144518,0.1726896557124006,0.32030060649992914,0.14711738331664098,-0.7378604831324109
0.8875,0.22764679302120294,0.20878100338566685,0.17548065421785933,0.16802667396793478,-1.1303228603366544,0.3800452275272163,0.16530296457534316,0.3211406580980426,0.13990918129618365,-0.7313998807571637
0.9,0.2068376703648953,0.19260014387086122,0.15972185144460008,0.14953696481127396,-1.122652956737863,0.3614345335455403,0.15048284637415885,0.307441335981218,0.12768003398857358,-0.7026738442365021
0.9125,0.19671639146737568,0.18243100864241749,0.15273732870830978,0.14367451488279834,-1.0989535205951795,0.3613563993900476,0.14565061075885935,0.3096943043551053,0.12261526028307179,-0.6700252995339362
0.925,0.18468203182032952,0.17116022371334477,0.14457048007592574,0.13556398310464157,-1.0634501418075593,0.3472174125678825,0.140640213880816,0.2959796653188283,0.11736586853663207,-0.6933961950718154
0.9375,0.17488836610843617,0.16223116756111763,0.13761932798886345,0.13199382809872023,-1.0408148085205948,0.3388460997208221,0.13609579249113637,0.2897156679541516,0.11383942071072822,-0.6803050621545048
0.95,0.1669836046574323,0.1558210686420248,0.13161120015005898,0.12840008446024836,-1.0338097546501657,0.33605060885070115,0.1308558449670614,0.2903036534606871,0.10911865183218263,-0.6355218310226862
0.9625,0.1563388728959034,0.14612814826139897,0.12385594729515255,0.11913492488592445,-1.0115010405341895,0.3128641551169347,0.12175906767133331,0.27096868012002656,0.1012340919344402,-0.6243671077667956
0.975,0.15579196758513228,0.14602389701524457,0.12307337713090599,0.11658411536555449,-1.0238093709741092,0.307419863025872,0.12327843465059457,0.2644049095331118,0.10164671860572277,-0.6546240745492737
0.9875,0.1480807896167044,0.13904185292194576,0.11690867764862509,0.10997009312678356,-1.0265196549048106,0.2963912141308346,0.12056635094570933,0.25338445144949706,0.09923685120681784,-0.6808536175484692
